,na,nb,objective,rbf_variance,rbf_lengthscale,noise_variance,train_rms,val_rms,test_rms
56,8,4,-68919.1632874012,1.8313382052989176,"[26.381873277816307, 24.706324635751606, 23.208829224116254, 22.241169855470286, 22.169310018236683, 23.022098329630396, 24.377877021520803, 25.9742690012947, 23.59941582936101, 26.429346675897136, 26.18339353842343, 16.421300650036006]",7.486783269319039e-05,0.0038513968971532584,0.0036911690911960752,0.0038591262466829766
57,8,5,-68790.55652034283,1.6585942425223708,"[27.03158250272135, 25.515929898965734, 24.142703982497224, 23.127219491718716, 22.8494843913511, 23.391100766227357, 24.61207109874318, 26.70982223427148, 24.934147970648855, 24.25470926852045, 24.02009967497455, 22.245397212603137, 18.499161695991337]",7.619173739507679e-05,0.003823090741983097,0.003661867785072096,0.003916862191104136
58,8,6,-69577.99074372649,2.856000896035779,"[31.921759834804032, 30.332972005288337, 28.406953222287804, 26.985571114066396, 26.899227358326762, 28.316508444832465, 30.236063462381306, 31.94852058464732, 30.90193213187363, 29.447057839737838, 27.56589062371285, 25.601990643773487, 24.06636515979761, 23.62357554685122]",7.112674490490157e-05,0.003760881934440436,0.003615059408046802,0.003977360970636812
59,8,7,-69340.75034061074,3.1809055056192506,"[40.82718213451452, 38.486268943859635, 36.07587259040732, 34.46379151006721, 34.5863348526731, 36.63076871586717, 39.55970260596959, 42.64416571326871, 38.84447537780676, 37.4405124964345, 35.616635234345075, 33.36480633721214, 31.099913681866376, 29.356749336540418, 28.70104095990237]",6.989893864647889e-05,0.00383963974852648,0.003696143944746145,0.004128337907112235
60,8,8,-69555.50585460663,3.6546572336402168,"[41.50827156438879, 39.330341623737034, 37.058894854256806, 35.48987392230217, 35.50244016865695, 37.402965129759, 40.41443170723568, 43.61519463036841, 38.597429093306964, 37.82713490790695, 36.4825150050721, 34.85240220878546, 33.19171278476891, 31.907336460399755, 31.27475045270689, 31.352170855450037]",6.964070709152709e-05,0.003766859850587443,0.0036618958213570484,0.0042307203083759215
61,8,9,-69583.07068449259,5.601605451632583,"[48.30475703469041, 46.28447130343643, 43.81030524226248, 41.56037606106093, 40.74670901487821, 42.58056895983081, 46.93451943124016, 52.23930014011943, 42.54820218824983, 42.030659311823484, 41.45020598959021, 40.54270243022902, 39.37060552689502, 38.107028353718526, 37.00863184515503, 36.38546209046089, 36.44654332941412]",7.211400394025473e-05,0.0037701429115285096,0.003660011693154057,0.0043699622986451275
62,8,10,-69673.10152354836,2.492423818287563,"[42.6264598468637, 40.31658671745151, 37.45900206546949, 34.91312238115366, 34.29611086451545, 36.926201575843045, 42.03517546409298, 47.64036804474925, 35.91636716354494, 34.43995593377389, 33.71343082389845, 33.38915518872336, 33.15013018299029, 32.77207478213636, 32.2056886226516, 31.435047572439533, 30.82280044826154, 30.45362257168692]",7.093124611956485e-05,0.0037873212135150444,0.003676694585653245,0.004634074310046298
63,9,2,-68500.36376258731,6.319069492729609,"[53.17836799879295, 50.308146319155185, 47.0993026442784, 44.06540497783696, 42.47256231582181, 43.00148299266671, 45.22035886984659, 47.93989810130921, 53.99557169743817, 56.56062511505055, 18.172435846786456]",7.779984531242828e-05,0.004084182244157683,0.003955289087228198,0.004134604248910468
64,9,3,-68096.69392985106,6.951717944428433,"[42.00009430806291, 39.510548593314894, 37.04126421353716, 34.5967331019202, 33.16169349300283, 33.065633694487694, 35.01738514344807, 38.25126322221755, 41.94615501404523, 40.6172709203688, 45.179939733982756, 19.358991938976004]",7.516196067537797e-05,0.003964889291847903,0.003851030415178183,0.004010286023623964
65,9,4,-68563.7311821878,4.173131314742302,"[42.943816928244686, 40.41532025237622, 38.42548676811951, 36.64747454572303, 35.28390091369044, 34.62489811841549, 35.49732364314763, 37.99048951666336, 41.71297245153555, 41.65035104629383, 43.43040461702981, 38.93775607190933, 18.50058443763452]",8.139480517921745e-05,0.00394969106664722,0.0038219099833619453,0.003989500920694868
66,9,5,-68940.54544353485,3.298424283714784,"[31.88582764372738, 31.2879742793364, 29.79717526830526, 27.826485971462937, 26.407975988146976, 26.303616945248205, 27.937290996555042, 30.342250951872895, 31.930134042097777, 31.47935722409116, 32.85049633212942, 33.06160151079551, 29.324381702978474, 22.341655291062125]",7.311756556154276e-05,0.00389198210596174,0.0037390776980808053,0.00393583300111768
67,9,6,-68194.00706151128,0.7536755370063909,"[23.46298868352833, 22.708248209847795, 21.38955322026223, 19.985330196570107, 19.129773804153146, 19.304997371148858, 20.81683382447409, 22.959464178223875, 24.62564783250051, 23.69979660081198, 22.76025707807527, 21.82375811702705, 20.903255768868334, 19.896963089193353, 19.08110681582331]",7.203967460740187e-05,0.0038699738749540555,0.003769733581061889,0.004245681825878055
68,9,7,-69214.72120428085,2.473929508174003,"[31.645319051765423, 30.251904830022728, 28.93794558004798, 27.912163082173688, 27.340793390259126, 27.54668347018427, 29.066761673711497, 31.90748812787833, 35.31590148765278, 32.20195359195985, 31.20966165247638, 29.799367650726982, 27.98566480249032, 25.89799141961104, 24.07778449105467, 23.38668168379114]",7.281022139457561e-05,0.003764681084593269,0.003641444264253713,0.004086420428784593
69,9,8,-69787.10388797522,10.217989823527757,"[48.39089744939916, 46.64304761131053, 44.87367719436473, 43.38234591805576, 42.51087083276538, 42.84581238411749, 45.12097518808648, 49.21507175453374, 54.08924307420039, 47.51229091830706, 46.661791003898955, 45.121801198495405, 43.02317453044272, 40.677875643328974, 38.57254677964197, 37.32896596968016, 37.43798737003749]",7.169380864363445e-05,0.003739131368383668,0.003613199510729621,0.0041361740968857965
70,9,9,-69826.49848747253,4.958131700624441,"[45.22434021600717, 43.59338720012803, 41.95130871805184, 40.47017525681089, 39.48467440921259, 39.62862914024387, 41.64184117056703, 45.509900945488084, 50.349428555961595, 41.712456025505276, 41.253481991064426, 40.659134898329896, 39.69610340239576, 38.41655005093322, 37.00048335791034, 35.75048440370415, 35.01111508760572, 35.17568954935586]",6.892448755099732e-05,0.003758587892712915,0.003644113702127294,0.004387623844004815
71,9,10,-69910.15321326256,4.583750538615539,"[48.135421695679376, 46.19460146376434, 44.14477342645145, 42.13983965854787, 40.76284450307276, 41.14406146057433, 44.27295126897754, 49.67942363105231, 55.742688275096626, 42.982010175528266, 41.564574703822665, 40.83921584506964, 40.399745092081325, 39.92460995961358, 39.21268247853841, 38.30078999099761, 37.25452629955369, 36.5537177897631, 36.37902962196037]",6.781735414571902e-05,0.003766080433496106,0.0036545176777940383,0.004476248388866979
72,10,2,-67857.77008415759,5.515325142841581,"[41.43252026869106, 40.492631767560674, 38.84686496762287, 35.7280293583666, 33.37832200944763, 32.258562643012716, 32.294010413229095, 33.62367128222956, 36.16370176805967, 41.18156948419214, 48.04349846519068, 21.68103248916929]",8.23232767844583e-05,0.0041098061360208115,0.003984740029879853,0.004182436341370714
73,10,3,-68078.29999449849,3.5695396979960075,"[36.17889692928566, 33.808417581918604, 31.793971716761437, 29.997157889736307, 28.490584539314913, 27.497617141406607, 27.49129248620651, 28.94289740042645, 31.589308025238342, 35.14935655534638, 36.34665989055319, 38.17775039313959, 19.98649117536634]",7.202602795702299e-05,0.003975861773603508,0.0038561811949877627,0.004031026505990882
74,10,4,-67749.13973265886,0.797920800439805,"[23.51020099194319, 21.909570263156294, 20.613028427182904, 19.567847480269382, 18.75315647971086, 18.185512123812334, 18.15196899444121, 19.00220012479107, 20.63550770970584, 22.975400467010473, 24.046504411844303, 24.939458772632726, 22.858371060471242, 13.118771772370517]",7.741277844690177e-05,0.003978716710747881,0.003848301678294058,0.004107429860264188
75,10,5,-68042.7585246265,1.6876877603065603,"[26.491116834499543, 25.336510790870108, 24.130412831808997, 23.010906358991605, 22.13528222527834, 21.673312249431063, 22.025448613880343, 23.495121230450202, 25.47005308372323, 27.206531028921592, 28.069526267067893, 29.24850225375365, 28.719503245555465, 24.972254747407277, 19.285074816841863]",7.125989145940296e-05,0.003957367155532432,0.0038423549841955966,0.004068622857390267
76,10,6,-67558.03528252244,0.5819600806992155,"[19.45034234639536, 18.473876713252043, 17.437274725811466, 16.527882000804574, 15.895155961557716, 15.64964312341852, 16.06698501292761, 17.36967282982089, 19.140120566885276, 20.84887883159806, 20.594893214914944, 20.404966211642204, 19.844765063026742, 18.520624059560987, 16.577396457374427, 14.798885932187389]",7.392521974455008e-05,0.003967555492487002,0.0038675781223647386,0.004511179932099274
77,10,7,-66949.78748469055,0.5752988999214416,"[20.11312281532498, 18.918191336196212, 17.96929748724944, 17.343645223890192, 16.982215796151795, 16.866858552023317, 17.23076489032681, 18.397798126027794, 20.30742002641682, 22.67790048220578, 20.50467661420348, 19.99068231888109, 19.290863736525747, 18.336635812329913, 17.098466620375138, 15.91016797237057, 15.082860270507439]",7.82163847047985e-05,0.004013379902751917,0.003890150050356955,0.005140170597356872
78,10,8,-69426.6411151886,4.78085797999368,"[44.690534668939286, 42.41741067327079, 40.76216610233909, 39.75199367349626, 39.15339849995968, 38.973139490413544, 39.84479451211162, 42.55610916151228, 46.97895983495664, 52.28635620672883, 44.6819151688618, 43.531383260640716, 42.157827603138244, 40.5393936625874, 38.803535676169176, 37.106888017046685, 36.037835410810395, 35.76494443190776]",7.401453375872938e-05,0.0037675561892288787,0.0036364760643504803,0.004174195270234609
